,sent_type,doc_sent_idx,text
169,b,170,"Palmitoylation and depalmitoylation of H-Ras, K-Ras-4A, and N-Ras proteins provide dynamic aspects to membrane localization and may present therapeutic opportunities for these proteins."
170,b,171,"Recent work demonstrated that acyl protein thioesterase 1 (APT1), which is responsible for Ras depalmitoylation, could be targeted by palmostatin B to selectively inhibit the growth of N-Ras mutant leukemia cells (<ce:cross-ref id=""crosref0295"" refid=""bib80"">Xu et al., 2012</ce:cross-ref>)."
171,b,172,"In contrast, K-Ras-4B localization seemed relatively static and stable: specific localization of K-Ras-4B to plasma membranes is based on electrostatic interactions between lysine residues in the hypervariable region and phospholipids in the membrane."
172,b,173,"However, another therapeutic opportunity has been presented by the discovery that PDE6δ acts as a solubilizing factor that modulates Ras proteins by sustaining their dynamic distribution in cellular membranes."
173,b,174,"A small molecule was identified that prevents association of K-Ras-4B, and other proteins, with PDEδ and so delocalizes these proteins and inhibits downstream signaling (<ce:cross-ref id=""crosref0300"" refid=""bib86"">Zimmermann et al., 2013</ce:cross-ref>)."
174,b,175,"Little is still known about the trafficking of Ras to and from the membrane, and there are likely to be additional factors or chaperones involved in the movement of the proteins that could serve as targets for small molecules."
175,b,176,"In a related study, K-Ras-4B was shown to undergo retrograde trafficking from the plasma membrane to endomembranes."
176,b,177,"This may serve as an additional pathway to specifically disrupt for therapeutic benefit (<ce:cross-ref id=""crosref0305"" refid=""bib4"">Bivona et al., 2006</ce:cross-ref>)."
177,b,178,"In addition to these processing events, several recent papers have highlighted other posttranslational modifications of K-Ras that could serve as therapeutic targets."
178,b,179,"Mono-ubiquitination at Lys147 has been shown to enhance GTP loading and effector-binding affinity of K-Ras (<ce:cross-ref id=""crosref0310"" refid=""bib59"">Sasaki et al., 2011</ce:cross-ref>), suggesting that targeting of ubiquitin pathway enzymes might have an effect on K-Ras activity."
179,b,180,"Acetylation of Lys104 was shown to decrease GEF-induced nucleotide exchange, leading to reduced transformation efficiency in cells, and the deacetylases SIRT2 and HDAC6 were shown to regulate the level of acetylation of K-Ras (<ce:cross-ref id=""crosref0315"" refid=""bib81"">Yang et al., 2013</ce:cross-ref>), suggesting that inhibitors of these enzymes might have an effect on the oncogenic potential of mutant K-Ras tumors."
180,b,181,"Finally, nitrosylation of Cys118 in H-Ras has been shown to activate Ras by enhancing nucleotide dissociation, leading to higher levels of GTP-bound protein."
181,b,182,"The eNos protein was identified as a strong enhancer of nitrosylation and therefore could also be a therapeutic target to attack mutant Ras (<ce:cross-ref id=""crosref0320"" refid=""bib37"">Lim et al., 2008</ce:cross-ref>)."
182,s,183,Downstream Pathways and Drug Targets
183,b,184,"When it became clear that targeting mutant Ras proteins directly was technically impossible with the tools available at that time, the search for drugs that block Ras activity moved downstream."
184,b,185,"In the early 1990s, the MAPK pathway and the PI3K pathway were known to be downstream of Ras (<ce:cross-ref id=""crosref0325"" refid=""fig1"">Figure 1</ce:cross-ref>)."
185,b,186,"In 1993, four groups showed that Ras binds directly to Raf kinase (<ce:cross-refs id=""crosrefs0040"" refid=""bib47 bib73 bib77 bib85"">Moodie et al., 1993; Van Aelst et al., 1993; Warne et al., 1993; Zhang et al., 1993</ce:cross-refs>), and later, activation of Raf kinase by Ras was achieved in vitro (<ce:cross-ref id=""crosref0330"" refid=""bib66"">Stokoe and McCormick, 1997</ce:cross-ref>)."
186,b,187,"This was unexpectedly difficult; for one thing, Raf activation by Ras required fully processed Ras in a lipid environment, and direct binding of unprocessed Ras failed to activate the kinase."
187,b,188,"Furthermore, autophosphorylation rapidly shut down Raf kinase in vitro; we had to preincubate processed Ras with Raf in the absence of ATP before measuring Raf kinase activity."
188,b,189,"This autophosphorylation accounts, at least in part, for paradoxical activation of Raf kinase by Raf inhibitors, a phenomenon that was discovered 16 years later (reviewed in <ce:cross-ref id=""crosref0335"" refid=""bib27"">Holderfield et al., 2013</ce:cross-ref>)."
189,b,190,"These issues complicate the development of in vitro assays for compounds that prevent Ras-dependent activation of Raf kinase, an obvious system for therapeutic intervention."
190,b,191,Direct blocking of Ras-Raf binding with small molecules does not appear to be a promising approach because the binding surface (two antiparallel β strands) offers no foothold in which a compound could bind.
191,b,192,"However, for example, preventing binding using peptides or by indirect allosteric approaches has been considered (see <ce:cross-ref id=""crosref0340"" refid=""bib79"">Wu et al., 2013</ce:cross-ref>)."
192,b,193,"The drug discovery group at Onyx Pharmaceuticals began screening for Raf kinase inhibitors in 1992 after it was able produce active c-Raf kinase in baculovirus (by coinfection with v-Src) and to reconstitute the MAPK pathway in vitro (<ce:cross-ref id=""crosref0345"" refid=""bib41"">Macdonald et al., 1993</ce:cross-ref>)."
193,b,194,"It was then assumed that in cancer cells with mutant Ras, the Raf/MAPK pathway would be hyperactive and that drugs that inhibit Raf would be effective ways of treating Ras mutant cancers."
194,b,195,It was also assumed that MEK and extracellular signal-regulated kinase (ERK) inhibitors would have the same effect.
195,b,196,"In hindsight, most of the assumptions were incorrect: the Raf/MAPK pathway is not often hyperactive in human cancer cells with mutant Ras, as measured by steady-state levels of phospho-MEK or phospho-ERK."
196,b,197,"Raf inhibitors lead to paradoxical activation of Raf kinase following exposure to Raf inhibitors, especially in Ras mutant cancers (reviewed in <ce:cross-ref id=""crosref0350"" refid=""bib39"">Lito et al., 2013</ce:cross-ref>)."
197,b,198,"MEK and ERK inhibitors do not show paradoxical activation but are generally ineffective on their own because they relieve feedback inhibition on upstream kinases, leading to activation of PI3K, among other effects (<ce:cross-refs id=""crosrefs0045"" refid=""bib45 bib12 bib72 bib46"">Mirzoeva et al., 2009; Corcoran et al., 2012; Turke et al., 2012; Montero-Conde et al., 2013</ce:cross-refs>), and because they lack a clear therapeutic window."
198,b,199,"MEK1/MEK2 isoforms have a high degree of amino acid identity, suggesting redundant roles in signaling."
199,b,200,The same is true for ERK1/ERK2.
200,b,201,"However, knocking out the gene encoding MEK1, <i>Map2k1</i> (<ce:cross-ref id=""crosref0355"" refid=""bib22"">Giroux et al., 1999</ce:cross-ref>), or the gene encoding ERK2, <i>Mapk1</i> (<ce:cross-refs id=""crosrefs0050"" refid=""bib26 bib57 bib82"">Hatano et al., 2003; Saba-El-Leil et al., 2003; Yao et al., 2003</ce:cross-refs>), is embryonic lethal, indicating a requirement for signaling from a particular isoform, at least in the context of embryogenesis."
201,b,202,"Although <i>Map2k2</i><sup loc=""post""><i>−/−</i></sup> (MEK2 null) and <i>Mapk3</i><sup loc=""post""><i>−/−</i></sup> (ERK1 null) mice are viable, in vivo ablation of MEK1 in a <i>Map2k2</i><sup loc=""post""><i>−/−</i></sup> background (<ce:cross-refs id=""crosrefs0055"" refid=""bib60 bib5"">Scholl et al., 2007; Blasco et al., 2011</ce:cross-refs>) or ERK2 in a <i>Mapk3</i><sup loc=""post""><i>−/−</i></sup> background (<ce:cross-ref id=""crosref0360"" refid=""bib9"">Chan et al., 2013</ce:cross-ref>) results in apoptosis and lethality in adult mice."
202,b,203,"This may suggest a limited therapeutic window for any pan inhibitor of these kinases, and the clinical toxicity of potential drugs in this target class bears this out."
203,b,204,The Onyx/Bayer screen for c-Raf inhibitors led to the discovery and development of sorafenib.
204,b,205,"However, it was disappointing when sorafenib failed to show clinical benefit in early clinical trials against Ras mutant cancers, and this lack of response was difficult to understand because sorafenib does indeed inhibit Raf kinase."
205,b,206,"Despite this, sorafenib and fluoro-sorafenib (regorafenib) have since been approved for the treatment of renal cell carcinoma, hepatocellular carcinoma, thyroid cancer, colorectal cancer, and gastrointestinal stromal cancer."
206,b,207,"In hepatocellular carcinoma, biomarker analysis in Phase II clinical trials showed a clear correlation between levels of phospho-ERK and clinical response, suggesting that inhibition of Raf kinase is responsible for part of the clinical benefit (<ce:cross-ref id=""crosref0365"" refid=""bib1"">Abou-Alfa et al., 2006</ce:cross-ref>), but in the other indications, it appears likely that inhibition of vascular endothelial growth factor receptor 2 or other kinases is responsible."
207,b,208,"Hopefully, a clearer picture will emerge through analysis of exceptional responders or through deciphering mechanisms of drug resistance."
208,b,209,"Inhibitors of PI3K pathway have not yet fared much better in the clinic, also because of feedback mechanisms that activate upstream signaling, as well as poor therapeutic index."
209,b,210,"However, the relative failure of these downstream approaches does not mean that they are not critical to Ras oncogenesis."
210,b,211,"Indeed, ablation of c-Raf (but not B-Raf) in mice inhibits development and delays progression of Ras-driven tumors in a lung adenocarcinoma model (<ce:cross-ref id=""crosref0370"" refid=""bib5"">Blasco et al., 2011</ce:cross-ref>)."
211,b,212,"However, in an in vivo pancreatic cancer mouse model, B-Raf was shown to be required for tumor progression (<ce:cross-ref id=""crosref0375"" refid=""bib65"">Sobczak et al., 2008</ce:cross-ref>)."
212,b,213,This suggests tissue-specific signaling cascades and will require more investigation.
213,b,214,Genetic disruption of Ras binding to PI3K-α has a similar effect.
214,b,215,"We can therefore assume that small molecules that can block downstream signaling without triggering feedback and with the correct specificity and biochemical properties may still be effective, but more work needs to be done to develop such compounds effectively."
215,b,216,"The third direct effector arm of Ras signaling that plays a major role in human cancer is the RalGDS (Ral guanine nucleotide dissociation stimulator) pathway (<ce:cross-ref id=""crosref0380"" refid=""fig1"">Figure 1</ce:cross-ref>)."
216,b,217,"Perhaps the best evidence of the importance of this effector pathway comes from demonstration that mice null for RalGDS have reduced skin carcinogen-induced tumor incidence, size, and progression to malignancy compared to wild-type mice (<ce:cross-ref id=""crosref0385"" refid=""bib23"">González-García et al., 2005</ce:cross-ref>)."
217,b,218,"These data, and many others (<ce:cross-refs id=""crosrefs0060"" refid=""bib43 bib32"">Martin et al., 2011; Kashatus, 2013</ce:cross-refs>), support a role for RalGDS both in vitro and in vivo as an important effector pathway utilized by oncogenic Ras to drive tumorigenesis that could potentially be exploited for therapeutic intervention, although the absence of somatic mutations in this effector pathway makes its precise role less clear than the Raf/MAPK and PI3K pathways."
218,b,219,"On the other hand, Ral signaling is upstream of NF-κB and TBK1, both of which have been implicated as essential genes downstream of K-Ras (<ce:cross-refs id=""crosrefs0065"" refid=""bib48 bib32"">Neel et al., 2011; Kashatus, 2013</ce:cross-refs>)."
219,b,220,"Other potential Ras effectors that could be important in cancer and therefore a source of potential therapeutic targets include phospholipase CE and Tiam1, a GEF that stimulates the activation of Rac (<ce:cross-ref id=""crosref0390"" refid=""fig1"">Figure 1</ce:cross-ref>)."
220,b,221,"Rac1 is necessary for K-Ras tumor initiation, further implicating the importance of this pathway in K-Ras tumorigenesis, though not yet providing obvious therapeutic targets (<ce:cross-ref id=""crosref0395"" refid=""bib24"">Gysin et al., 2011</ce:cross-ref>)."
221,b,222,"Likewise, cyclin D1, NF-κB, and Myc are necessary for Ras tumorigenesis; further analysis of the role of these pathways may lead to new therapeutic insights."
222,b,223,"For example, <ce:cross-ref id=""crosref0400"" refid=""bib53"">Puyol et al. (2010)</ce:cross-ref> recently demonstrated that germline or conditional deletion of <i>Cdk4</i> led to senescence in lung cells expressing activated K-Ras."
223,b,224,"Furthermore, treatment with a Cdk4 inhibitor reduced the growth of K-Ras-driven tumors."
224,b,225,"Finally, unbiased shRNA screens have revealed potential targets for K-Ras cancers."
225,b,226,"These include STK33, TBK1, and GATA-2."
226,b,227,"So far, STK33 inhibition does not appear to be a useful approach to K-Ras cancers (<ce:cross-ref id=""crosref0405"" refid=""bib78"">Weiwer et al., 2012</ce:cross-ref>)."
227,b,228,TBK1 inhibitors are still being investigated: this target is of particular interest because it is part of the well-validated RalGDS pathway.
228,b,229,"GATA2 is also of considerable interest; genetic ablation leads to tumor regression in mouse models of adenocarcinoma of the lung, and whereas this transcription factor may appear to be the least druggable of targets, its role in regulating the proteasome suggested therapeutic approaches that appear very promising (<ce:cross-ref id=""crosref0410"" refid=""bib33"">Kumar et al., 2012</ce:cross-ref>)."
229,s,230,Future Prospects
230,b,231,"In this Review, we have summarized some of the challenges of targeting Ras cancers."
231,b,232,"Despite the tremendous progress that has been made, we still have to learn a great deal about these cancers before we can be confident that we can treat them effectively."
232,b,233,Recent experience in targeting Raf and MEK has underscored how a pathway that appeared simple and linear is extremely complex and poorly understood at the level of detail required to shut it down effectively.
233,b,234,"Nobody expected that Raf inhibitors would activate Raf kinase in Ras-transformed cells, for example, or that inhibition of downstream kinases like MEK would lead to activation of upstream signaling."
234,b,235,We need a much deeper analysis of the molecular mechanisms underlying Ras regulation and effector engagement before we can expect to interfere with these mechanisms effectively.
235,b,236,It seems to us more likely that these deeper insights will lead to productive approaches for intervention than to the conclusion that Ras is indeed undruggable.
236,b,237,New technologies and insights and fresh eyes are likely to solve this problem.
237,b,238,"We are also optimistic that completely different approaches to treating cancer will contribute to eliminating Ras cancers, including new ways of knocking down/out genes using RNAi and CRISPR technologies and delivering these payloads to tumors (<ce:cross-ref id=""crosref0415"" refid=""bib14"">Davis et al., 2010</ce:cross-ref>), as well as new ways of deploying the immune system."
238,b,239,"In this respect, it is noteworthy that anti-CTLA-4 therapy appears to be equally effective in treating melanoma driven by N-Ras or B-Raf; therefore, Ras cancers may not be excluded from these approaches as they have been from others."
239,b,240,All of these considerations lead us to be optimistic about future prospects of finally delivering the knockout punch.
240,ft,241,Figure 1
241,f,242,Simplified View of the Ras Pathway
242,f,243,"Ras proteins are converted from their GDP state to their GTP state by GEFs, in response to upstream signals (<ce:cross-ref id=""crosref0425"" refid=""bib6"">Bos et al., 2007</ce:cross-ref>)."
243,f,244,GAPs convert Ras-GTP back to Ras-GDP.
244,f,245,p120 GAP does this when recruited to activated RTKs.
245,f,246,The signal that directs NF1 (neurofibromin)/SPRED to inactivate Ras is not known.
246,f,247,"Several other GAPs are capable of downregulating Ras (<ce:cross-ref id=""crosref0430"" refid=""bib6"">Bos et al., 2007</ce:cross-ref>)."
247,f,248,Ras-GTP binds and activates multiple downstream effectors.
248,f,249,"The group of proteins shown on the left includes potential effectors whose significance is less well understood relative to RalGDS, Raf kinases, and PI3Ks (<ce:cross-ref id=""crosref0435"" refid=""bib24"">Gysin et al., 2011</ce:cross-ref>)."
249,f,250,"Protein families are represented as single proteins to simplify the schematic; in addition, feedback loops are not included."
250,ft,251,Figure 2
251,f,252,Structure Showing Small Molecule-Directed Electrophilic Attack of K-Ras-G12C
252,f,253,K-Ras-G12C (Protein Data Bank <ce:inter-ref>4LUC_A</ce:inter-ref>) is displayed in surface representation.
253,f,254,"The cocrystallized ligands, GDP and N-(1-[(2,4-dichlorophenoxy)acetyl]piperidin- 4-yl)-4-sulfanylbutanamide, are shown in stick mode."
254,f,255,The location of calcium ion is shown as a green ball.
255,f,256,"Switch 1 (28–38) and switch 2 (57–63) are highlighted by orange and red colors, respectively."
256,f,257,"Key ligand-interacting residue (C12, V9, V7, F78, I100, M72, Q99, and R68) positions are colored green."
257,f,258,Position of C12 residue is shown in ball and stick (green).
258,f,259,Note that residues 58 and 60 are part of both switch 2 and the key ligand-interacting group (shown in blue).
259,ft,260,Figure 3
260,f,261,Schematic Representation of the Ras Isoforms
261,f,262,"The structures of the G domain of H-Ras, N-Ras, and K-Ras have been solved and are virtually identical, but the structure of processed hypervariable regions has not been solved and is therefore depicted as a linear sequence."
262,f,263,Lipid modifications with farnesyl (purple) and palmitoyl (orange) chains are shown.
