,doc_sent_idx,sent_type,snt
5907,175,b,"Furthermore, culturing of HMCL and patient-derived samples in the presence of exogenous interleukin-6 or bone marrow stromal cells did not protect against AZD6244-induced apoptosis."
5908,176,b,"Synergistically enhanced cell death was noted in combinations of AZD6244 with conventional (dexamethasone) and novel (bortezomib, lenalidomide, perifisone) anti-MM agents."
5909,177,b,AZD6244 as a single agent was also examined in an <i>in vivo</i> human plasmocytoma xenograft model and demonstrated prolonged survival when compared with control animals.
5910,178,b,"Breitkreutz <i>et al.</i><sup><xref ref-type=""bibr"" rid=""bib85"">85</xref></sup> have also investigated the consequences of AZD6244 administration on osteoclast differentiation, function and cytokine secretion in MM."
5911,179,b,AZD6244 blocked osteoclast differentiation and bone reabsorption in a dose-dependent manner.
5912,180,b,"Furthermore, critical MM growth factors produced by the BMME, including interleukin-6, BAFF, APRIL and MIP-1α were all significantly reduced following AZD6244 treatment."
5913,181,b,"Taken together, these results indicate that AZD6244 is able to abrogate paracrine signal dependent MM cell survival within the bone marrow niche."
5914,182,b,Both these studies provide a preclinical rationale for the further evaluation of AZD6244.
5915,183,b,A phase II trial examining the compound in MM is presently ongoing.
5916,184,b,"Treatment with AS703026 has also been explored in MM.<sup><xref ref-type=""bibr"" rid=""bib86"">86</xref></sup>"
5917,185,b,"AS703026 inhibits HMCL and cytokine-induced osteoclast differentiation more potently (9- to 10-fold) than AZD6244, with an IC<sub>50</sub> ranging from 0.005–2 μℳ."
5918,186,b,No discernable relationship between Ras or Raf mutational status and the sensitivity of HMCL to AS703026 was observed.
5919,187,b,This compound also induced apoptosis in HMCL cultured in the presence of bone marrow stromal cells.
5920,188,b,"Further evaluation of AS703026 in conjunction with conventional (dexamethasone, melphalan) and novel (lenalidomide, bortezomib, perifisone, rapamycin) anti-MM therapies revealed synergistic cytotoxicity against HMCL and patient samples."
5921,189,b,"Lastly, for tumour cells isolated from patients with relapsed/refractory MM treated with AS703026 at concentrations below 200 nℳ, dose-dependent cytotoxicity was observed for 15 of 18 patient MM samples."
5922,190,b,"In this cohort of MM patient samples, while six and two of the patient samples harboured K-Ras/N-Ras and B-Raf mutations, respectively, the presence or absence of Ras or B-Raf mutations did not correlate with the sensitivity to MEK inhibition by AS703026."
5923,191,b,"Despite these encouraging findings, outcomes from solid tumour models suggest that combination regimes are required to maximise the effectiveness of MEK inhibitors in MM."
5924,192,b,"AZD6244 and AS703026 have demonstrated improved potency when used in combination with other anti-MM agents.<sup><xref ref-type=""bibr"" rid=""bib84"">84</xref>, <xref ref-type=""bibr"" rid=""bib85"">85</xref>, <xref ref-type=""bibr"" rid=""bib86"">86</xref></sup>"
5925,193,b,The contribution of additional signalling pathways to MM tumorigenesis also offers the opportunity to target MEK in conjunction with the inhibition of these biochemical networks.
5926,194,b,"Chatterjee <i>et al.</i><sup><xref ref-type=""bibr"" rid=""bib30"">30</xref></sup> have determined that the combined disruption of the Ras/MAPK and JAK/STAT pathway is required to induce MM apoptosis in the presence of bone marrow stromal cells."
5927,195,b,"Similarly, the contribution PI3K/Akt and nuclear factor kappa-light-chain-enhancer of activated B cells (NFκB) pathway deregulation exerts on MM and drug resistance also makes these pathways attractive targets for co-inhibition with MEK specific agents.<sup><xref ref-type=""bibr"" rid=""bib5"">5</xref>, <xref ref-type=""bibr"" rid=""bib29"">29</xref></sup>"
5928,196,b,Several other small molecule inhibitors have also recently emerged as promising therapies in MM.
5929,197,b,Histone deacetylases (HDAC) represent a family of enzymes that control transcription by modifying histones.
5930,198,b,"Overexpression of HDAC in MM prevents the transcription of various tumour-suppressor genes, which in turn enhances cellular proliferation and represses cell death.<sup><xref ref-type=""bibr"" rid=""bib87"">87</xref></sup>"
5931,199,b,"Inhibition of HDAC activity reverses these outcomes, culminating in the accumulation of acetylated histones that promote the apoptosis of malignant cells.<sup><xref ref-type=""bibr"" rid=""bib88"">88</xref></sup>"
5932,200,b,"Clinical evaluation of the HDAC inhibitors as single agents in relapsed/refractory MM patients has yielded modest response rates.<sup><xref ref-type=""bibr"" rid=""bib89"">89</xref>, <xref ref-type=""bibr"" rid=""bib90"">90</xref></sup>"
5933,201,b,"Nevertheless, several studies have reported a significant increase in the anti-MM effect of these agents, when used in conjunction with conventional anti-MM chemotherapeutics,<sup><xref ref-type=""bibr"" rid=""bib91"">91</xref></sup> lenalidomide and bortezomib.<sup><xref ref-type=""bibr"" rid=""bib92"">92</xref></sup>"
5934,202,b,"Combinations of MEK and HDAC inhibitors have been limited to preclinical studies involving chronic myelogenous leukaemia and non-small cell lung carcinoma cell lines, but preliminary results have been promising.<sup><xref ref-type=""bibr"" rid=""bib93"">93</xref>, <xref ref-type=""bibr"" rid=""bib94"">94</xref></sup>"
5935,203,b,"Heat shock protein 90 (HSP90) is a molecular chaperone that regulates many of the proteins involved in Ras/MAPK, PI3K/Akt, JAK/STAT and NFκB signalling, as well other biochemical pathways that control apoptosis and cell cycle progression.<sup><xref ref-type=""bibr"" rid=""bib95"">95</xref></sup>"
5936,204,b,"Consistent with these properties, inhibition of HSP90 has been shown to disrupt multiple pathways crucial to MM survival.<sup><xref ref-type=""bibr"" rid=""bib96"">96</xref>, <xref ref-type=""bibr"" rid=""bib97"">97</xref></sup>"
5937,205,b,"While co-treatment of MM cells with a MEK and HSP90 inhibitors might serve as a means of attenuating the feedback mechanisms that promote resistance to MEK inhibitors, the clinical efficacy of these approaches is dependent upon how selective and active these combination regimes are <i>in vivo</i>."
5938,206,b,"In particular, the potential interrupting multiple kinase networks has for increasing the likelihood of adverse effects and drug toxicity is likely to be an important factor in determining the optimal use of these agents."
5939,207,s,"<sec-title level=""2"">Predicting patient responses to MEK inhibitors: identification of relevant biomarkers</sec-title>"
5940,208,b,"As all MEK inhibitors tested to date demonstrate potent and selective activity against MEK1/2, toxicity profiles and drug exposure are likely to be the key criteria that refine these drugs for therapeutic use."
5941,209,b,"Furthermore, it has become clear that certain genetic sub-types in solid tumours are associated with increased susceptibility or resistance to MEK inhibitors."
5942,210,b,"This observation highlights the need for a reliable marker of responsiveness to MEK inhibitors, allowing tailoring of individualised therapies and reducing the occurrence of adverse events."
5943,211,b,Currently it remains difficult to determine which patients will benefit most from MEK inhibitor treatment.
5944,212,b,"Whilst activating B-Raf mutations are associated with exquisite sensitivity against these agents, other biochemical markers demonstrate less predictability."
5945,213,b,"For example, the poor correlation between MEK inhibitor susceptibility Ras genotypes and p-ERK expression is well documented.<sup><xref ref-type=""bibr"" rid=""bib12"">12</xref>, <xref ref-type=""bibr"" rid=""bib41"">41</xref>, <xref ref-type=""bibr"" rid=""bib46"">46</xref>, <xref ref-type=""bibr"" rid=""bib47"">47</xref>, <xref ref-type=""bibr"" rid=""bib48"">48</xref>, <xref ref-type=""bibr"" rid=""bib60"">60</xref></sup>"
5946,214,b,"In one study, analysis of transcriptional pathway signatures in various solid tumours, identified a panel of 18 genes, the expression of which correlated with responsiveness to AZD6244.<sup><xref ref-type=""bibr"" rid=""bib98"">98</xref></sup>"
5947,215,b,"This signature contained transcriptional targets of ERK involved in negative-feedback regulation (DUSP4/6 and SPRY2), members of the Ets family of transcription factors (ETV4, ETV5 and ELF1) and other genes associated with MAPK signalling, cell cycle progression and tumour prognosis."
5948,216,b,A 13-gene signature was also identified that was predictive of resistance to AZD6244.
5949,217,b,"This diverse set of genes shared common links with transforming growth factor-β (TGF-β), tumour necrosis factor-α and NFκB signalling."
5950,218,b,The role of these genes in MM and their potential predictive value for MEK inhibitor responsiveness has not been appraised.
5951,219,b,"Recent data published by Annuziata <i>et al.</i><sup><xref ref-type=""bibr"" rid=""bib99"">99</xref></sup> has reported the use of the musculoaponeurotic fibrosarcoma (MAF) oncogene as a potential biomarker for MEK inhibitor responses in MM."
5952,220,b,"In approximately 10% of cases, aberrant MAF expression is due to a (14;16) translocation."
5953,221,b,High levels of MAF were also observed in patient samples with t(4;14) translocations.
5954,222,b,Both t(4:16) and t(4;14) translocations correlate with disease progression and worse overall survival.
5955,223,b,"The MEK/ERK pathway was found to regulate transcription of the MAF proto-oncogene through ERK activation of FOS, a finding consistent with MAF protein and mRNA levels being downregulated following MEK inhibition."
5956,224,b,"To examine the dependence of MM cells on MEK/ERK signalling, U0126 was administered to 16 HMCL that represented the heterogeneous onco-genetics of the disease."
5957,225,b,"Of the 10 HMCL killed by this MEK inhibitor in a dose-dependent manner, 9 cell lines exhibited a t(4;16) or t(4;14) translocation and over expressed MAF."
5958,226,b,"Moreover, the cytotoxic effect of U0126 was not neutralised by the presence of bone marrow stromal cells and remarkably, the impact of MEK inhibition on MM viability could be rescued by exogenous MAF expression."
5959,227,b,"Importantly, this study provides a mechanistic rationale for using MEK inhibitor therapy in MM patients that overexpress c-MAF."
5960,228,b,These findings emphasise the potential benefit of genetic profiling to identify patients with MAF-expressing MM who may benefit from this class of agents.
5961,229,b,"As part of the phase II trial of AZD6244 in relapsed/refractory MM, extensive molecular profiling of a subset of patients was conducted to correlate the genetic characteristics of MM with clinical outcomes."
5962,230,b,"To date, detailed clinical data from eight patients has been analysed, four of whom overexpress c-MAF or MAF-B."
5963,231,b,One patient (fibroblast growth factor receptor 3) had a very good PR lasting 8 months.
5964,232,b,Another patient (MAF-B) had a PR of 6 months.
5965,233,b,"Finally, two patients (one MAF-B, one pending results) demonstrated s.d. of >5 and 13 months, respectively.<sup><xref ref-type=""bibr"" rid=""bib100"">100</xref></sup>"
5966,234,b,Additional studies with larger sample sizes are required to support or refute MAF expression as a reliable biomarker for MEK inhibition.
5967,235,s,"<sec-title level=""1"">Conclusion</sec-title>"
5968,236,b,The Ras/Raf/MEK/ERK pathway has an established role in the various neoplastic phenotypes observed in many malignancies.
5969,237,b,"Deregulation of this pathway is also a common feature of MM, and contributes to the relapsing and refractory nature of the disease."
5970,238,b,"These observations make this pathway an attractive target for pharmaceutical investigation, with a number of MEK inhibitors having been developed and evaluated clinically."
5971,239,b,"Although preclinical studies of MEK inhibitors in MM have demonstrated a capacity to induce MM apoptosis by overcoming the prosurvival effects of the BMME, solid tumour studies indicate that the therapeutic benefit of MEK inhibitors alone are likely to be of limited benefit."
5972,240,b,"Therefore, future clinical approaches require a shift towards using MEK inhibitors in combination with current anti-MM compounds and other novel small molecule inhibitors."
5973,241,b,The identification of relevant biomarkers of MEK inhibitor responses remains a high priority that can be used to predict patient sensitivity and to tailor individualised therapies.
